the_geom,sci_name,entity_id,field_bird_illustration_fid,img_url,cartodb_id,com_name,page_url,img_width,img_height,com_name2
,Phylloscopus fuscatus,717,17361,3504_Sibl_9780307957900_art_r1.jpg,450,Dusky Warbler,http://www.audubon.org/node/717,2624,1686,Dusky Warbler
,Anthus rubescens,520,17371,3515_Sibl_9780307957900_art_r1.jpg,451,American Pipit,http://www.audubon.org/node/520,1918,1686,American Pipit
,Toxostoma bendirei,509,17376,3524_Sibl_9780307957900_art_r1.jpg,452,Bendires Thrasher,http://www.audubon.org/node/509,2571,1686,Bendires Thrasher
,Mimus gundlachii,731,17386,3533_Sibl_9780307957900_art_r1.jpg,453,Bahama Mockingbird,http://www.audubon.org/node/731,2259,1686,Bahama Mockingbird
,Mimus polyglottos,507,17391,3534_Sibl_9780307957900_art_r1.jpg,454,Northern Mockingbird,http://www.audubon.org/node/507,2378,1686,Northern Mockingbird
,Catharus guttatus,490,17396,3546_Sibl_9780307957900_art_r1.jpg,455,Hermit Thrush,http://www.audubon.org/node/490,2296,1686,Hermit Thrush
,Ridgwayia pinicola,730,17401,3556_Sibl_9780307957900_art_r1.jpg,456,Aztec Thrush,http://www.audubon.org/node/730,1741,1686,Aztec Thrush
,Luscinia svecica,496,17411,3571_Sibl_9780307957900_art_r1.jpg,457,Bluethroat,http://www.audubon.org/node/496,1521,1686,Bluethroat
,Oenanthe oenanthe,498,17416,3572_Sibl_9780307957900_art_r1.jpg,458,Northern Wheatear,http://www.audubon.org/node/498,2041,1686,Northern Wheatear
,Acridotheres cristatellus,517,17426,3579_Sibl_9780307957900_art_r1.jpg,459,Crested Myna,http://www.audubon.org/node/517,1826,1686,Crested Myna
,Toxostoma lecontei,512,17431,3590_Sibl_9780307957900_art_r1.jpg,460,LeContes Thrasher,http://www.audubon.org/node/512,3279,1686,LeContes Thrasher
,Oreoscoptes montanus,508,17436,3588_Sibl_9780307957900_art_r1.jpg,461,Sage Thrasher,http://www.audubon.org/node/508,2304,1686,Sage Thrasher
,Motacilla alba,522,17441,3599_Sibl_9780307957900_art_r1.jpg,462,White Wagtail,http://www.audubon.org/node/522,2241,1686,White Wagtail
,Motacilla tschutschensis,523,17451,3615_Sibl_9780307957900_art_r1.jpg,463,Eastern Yellow Wagtail,http://www.audubon.org/node/523,2051,1686,Eastern Yellow Wagtail
,Accipiter cooperii,415,17456,3635_Sibl_9780307957900_art_r1.jpg,464,Coopers Hawk,http://www.audubon.org/node/415,606,1686,Coopers Hawk
